_ID,_pageName,_pageTitle,_pageNamespace,_pageID,datum,datum__precision,etiketter__full,url,bild,youtubeid
42,Anders Tegnell får frågan om hur AstraZenecas vaccin skyddar mot den sydafrikans…,Anders Tegnell får frågan om hur AstraZenecas vaccin skyddar mot den sydafrikans…,0,1281,2021-03-25,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1375100927074533377,,
43,Anders Tegnell får frågan om äldreomsorgens förmåga att skydda de äldre vägdes i…,Anders Tegnell får frågan om äldreomsorgens förmåga att skydda de äldre vägdes i…,0,1233,2020-12-01,1,"ar_covid, Anders Tegnell, FHM",https://twitter.com/ar_covid/status/1380205086576631812,,
44,Anders Tegnell får frågan varför det inte testas mer i skolor. Det görs i andra …,Anders Tegnell får frågan varför det inte testas mer i skolor. Det görs i andra …,0,1216,2021-04-13,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1381974705440223235,,
45,Anders Tegnell får frågan varför vi valt strategin att plana ut kurvan istället …,Anders Tegnell får frågan varför vi valt strategin att plana ut kurvan istället …,0,1272,2020-03-17,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1376858114356563969,,
46,Anders Tegnell ger en eloge till landets äldreboenden för att dom ”förändrat den…,Anders Tegnell ger en eloge till landets äldreboenden för att dom ”förändrat den…,0,1147,2020-08-25,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1387337765050847237,,
47,Anders Tegnell hyllar brittisk tanke kring flockimmunitet: ”Dit vi behöver komma”,Anders Tegnell hyllar brittisk tanke kring flockimmunitet: ”Dit vi behöver komma”,0,1487,2020-03-16,1,"sverige, Anders Tegnell, Flockimmunitet",https://www.aftonbladet.se/nyheter/a/6j7vaO/anders-tegnell-hyllar-brittisk-tanke-kring-flockimmunitet-dit-vi-behover-komma,2022-08-30 17-20.png,
48,Anders Tegnell om antalet avlidna per vecka i Sverige. ”..en tyvärr allt mer tyd…,Anders Tegnell om antalet avlidna per vecka i Sverige. ”..en tyvärr allt mer tyd…,0,1268,2021-03-30,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1376885235749695488,,
49,Anders Tegnell om arbete hemifrån: Det är en jämlikhetsfråga och något ”man måste tänka igenom brett”.,Anders Tegnell om arbete hemifrån: Det är en jämlikhetsfråga och något ”man måste tänka igenom brett”.,0,1309,2020-03-11,1,"sverige, Anders Tegnell, Nikas Svensson, Expressen, Expressen TV, video, videoutdrag, ar_covid",https://twitter.com/ar_covid/status/1390217878247456769,,
50,"Anders Tegnell påminner, för andra gången på samma presskonferens, att pandemin …","Anders Tegnell påminner, för andra gången på samma presskonferens, att pandemin …",0,1134,2021-04-29,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1387774277123026944,,
51,Anders Tegnell påminner om att det inte är Folkhälsomyndigheten som hanterar pan…,Anders Tegnell påminner om att det inte är Folkhälsomyndigheten som hanterar pan…,0,1139,2021-04-29,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1387745784322531339,,
52,Anders Tegnell svarar att klassificering av sjukdomar göra utifrån hur de smitta…,Anders Tegnell svarar att klassificering av sjukdomar göra utifrån hur de smitta…,0,1136,2021-04-29,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1387762569138647048,,
53,"Anders Tegnell säger, gällande vaccin mot coronaviruset, att det åtminstone komm…","Anders Tegnell säger, gällande vaccin mot coronaviruset, att det åtminstone komm…",0,1167,2020-01-24,1,"ar_covid, Anders Tegnell, vaccin",https://twitter.com/ar_covid/status/1385896647998255104,,
54,Anders Tegnell säger att FHM vet att inga över 65 år drabbats av de allvarliga k…,Anders Tegnell säger att FHM vet att inga över 65 år drabbats av de allvarliga k…,0,1172,2021-04-13,1,"ar_covid, Anders Tegnell, FHM",https://twitter.com/ar_covid/status/1385591901718515712,,
55,Anders Tegnell säger att FHM ”ser inte riktigt framför oss att Sverige ska behöv…,Anders Tegnell säger att FHM ”ser inte riktigt framför oss att Sverige ska behöv…,0,1214,2020-09-24,1,"ar_covid, Anders Tegnell, FHM",https://twitter.com/ar_covid/status/1381991688185511939,,
56,Anders Tegnell säger att Norge bara är ett land. Man måste ta bredare blick än a…,Anders Tegnell säger att Norge bara är ett land. Man måste ta bredare blick än a…,0,1128,2021-04-29,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1388085359700029447,,
57,"Anders Tegnell säger att Skåne klarat sig mycket bättre än Själland, trots stora…","Anders Tegnell säger att Skåne klarat sig mycket bättre än Själland, trots stora…",0,1154,2021-04-27,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1387031988738068482,,
58,Anders Tegnell säger att Sverige borde ha satt in fler åtgärder i början av pand…,Anders Tegnell säger att Sverige borde ha satt in fler åtgärder i början av pand…,0,1237,2020-06-03,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1379801890200895490,,
59,Anders Tegnell säger att Sverige tidsmässigt inte är så långt ifrån en stabil si…,Anders Tegnell säger att Sverige tidsmässigt inte är så långt ifrån en stabil si…,0,1183,2021-04-21,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1384793837579689984,,
60,Anders Tegnell säger att covid-19-arbetet kunde ha kommit igång tidigare i Sveri…,Anders Tegnell säger att covid-19-arbetet kunde ha kommit igång tidigare i Sveri…,0,1289,2020-04-03,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1374063343556833280,,
61,Anders Tegnell säger att de svenska experter han talat med säger att man får en …,Anders Tegnell säger att de svenska experter han talat med säger att man får en …,0,1123,2020-04-16,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1383765166441963526,,
62,Anders Tegnell säger att det har varit extremt svårt att förstå vilken roll immu…,Anders Tegnell säger att det har varit extremt svårt att förstå vilken roll immu…,0,1225,2020-12-01,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1380828610760749063,,
63,Anders Tegnell säger att det inte finns några nya åtgärder att ta till för att m…,Anders Tegnell säger att det inte finns några nya åtgärder att ta till för att m…,0,1219,2021-04-13,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1381951211943960578,,
64,Anders Tegnell säger att det inte finns några tecken att yngre oftare blir allva…,Anders Tegnell säger att det inte finns några tecken att yngre oftare blir allva…,0,1282,2021-03-25,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1375090555642843137,,
65,Anders Tegnell säger att det inte hade spelat någon roll om vi hade testat mer.…,Anders Tegnell säger att det inte hade spelat någon roll om vi hade testat mer.…,0,1132,2020-04-04,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1388034984255098880,,
66,Anders Tegnell säger att det inte är tydligt att tvingande åtgärder är mer effek…,Anders Tegnell säger att det inte är tydligt att tvingande åtgärder är mer effek…,0,1129,2021-04-29,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1388085193903329282,,
67,Anders Tegnell säger att det inte är vanligt att bära på viruset utan att ha sym…,Anders Tegnell säger att det inte är vanligt att bära på viruset utan att ha sym…,0,1187,2021-04-20,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1384490744153575424,,
68,Anders Tegnell säger att det är farligt att tro att skyddsutrustning inom omsorg…,Anders Tegnell säger att det är farligt att tro att skyddsutrustning inom omsorg…,0,1211,2020-04-14,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1382631985055666178,,
69,Anders Tegnell säger att det är för tidigt att jämföra länder och dra slutsatser…,Anders Tegnell säger att det är för tidigt att jämföra länder och dra slutsatser…,0,1127,2021-04-29,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1388085594065080323,,
70,Anders Tegnell säger att det är mutationerna/varianterna som ligger bakom ökning…,Anders Tegnell säger att det är mutationerna/varianterna som ligger bakom ökning…,0,1284,2021-03-25,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1375084020900499457,,
71,Anders Tegnell säger att det är olyckligt att bara 3 av 10 använder munskydd i k…,Anders Tegnell säger att det är olyckligt att bara 3 av 10 använder munskydd i k…,0,1236,2021-04-08,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1380143149541117953,,
72,"Anders Tegnell säger att det är omfattande smittspridning, framförallt bland yng…","Anders Tegnell säger att det är omfattande smittspridning, framförallt bland yng…",0,1153,2021-04-27,1,"ar_covid, Anders Tegnell, FHM",https://twitter.com/ar_covid/status/1387040881132204033,,
73,Anders Tegnell säger att det är sämre följsamhet till restriktioner som ligger b…,Anders Tegnell säger att det är sämre följsamhet till restriktioner som ligger b…,0,1283,2021-03-23,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1375086629531090947,,
74,Anders Tegnell säger att flockimmunitet är ”det enda som någonsin kommer få smit…,Anders Tegnell säger att flockimmunitet är ”det enda som någonsin kommer få smit…,0,1290,2020-04-04,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1374021694659170304,,
75,Anders Tegnell säger att immunitet i befolkningen kommer komma innan vaccin i pr…,Anders Tegnell säger att immunitet i befolkningen kommer komma innan vaccin i pr…,0,1157,2020-03-17,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1375186178484342784,,
76,Anders Tegnell säger att man kunde ha satt igång arbetet med coronaviruset ”ännu…,Anders Tegnell säger att man kunde ha satt igång arbetet med coronaviruset ”ännu…,0,1146,2020-04-03,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1387361342496051200,,
77,Anders Tegnell säger att man måste titta på fler länder. Inte bara Norge. Vi har…,Anders Tegnell säger att man måste titta på fler länder. Inte bara Norge. Vi har…,0,1130,2021-04-29,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1388085005268758531,,
78,Anders Tegnell säger att om coronaviruset överhuvudtaget kan smitta mellan männi…,Anders Tegnell säger att om coronaviruset överhuvudtaget kan smitta mellan männi…,0,1168,2020-01-17,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1385879153413603329,,
79,Anders Tegnell säger att skillnader i smittspridningen mellan olika länder handl…,Anders Tegnell säger att skillnader i smittspridningen mellan olika länder handl…,0,1182,2021-04-21,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1384798194484318209,,
80,Anders Tegnell säger att smittan minskat under tidigare lovperioder och vi får s…,Anders Tegnell säger att smittan minskat under tidigare lovperioder och vi får s…,0,1234,2021-04-08,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1380187767125118979,,
81,Anders Tegnell säger att strategierna att trycka ner smittan så mycket det går f…,Anders Tegnell säger att strategierna att trycka ner smittan så mycket det går f…,0,1267,2020-03-17,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1376890288489295876,,
82,Anders Tegnell säger att vi ska plana ut kurvan för att ”inte skada sjukvården o…,Anders Tegnell säger att vi ska plana ut kurvan för att ”inte skada sjukvården o…,0,1271,2021-03-30,1,"ar_covid, Anders Tegnell",https://twitter.com/ar_covid/status/1376871590462418951,,
83,Anders Wahlne ställer fråga till Anders Tegnell om FHM:s syn på hur viruset spri…,Anders Wahlne ställer fråga till Anders Tegnell om FHM:s syn på hur viruset spri…,0,1137,2021-04-29,1,"ar_covid, Anders Tegnell, FHM",https://twitter.com/ar_covid/status/1387762344743297024,,
84,Anders Wallensten får fråga om det inte fanns beredskap för en sån här situation…,Anders Wallensten får fråga om det inte fanns beredskap för en sån här situation…,0,1275,2020-03-24,1,ar_covid,https://twitter.com/ar_covid/status/1375850853890940929,,
85,Anders Wallensten släpper bok om hälsa: ”En utmaning”,Anders Wallensten släpper bok om hälsa: ”En utmaning”,0,1385,2021-01-07,1,"sverige,",https://www.expressen.se/tv/ditv/weekend/statsepidemiologen-slapper-bok-om-halsa-en-utmaning/,2021-08-13 13-00.png,
86,Ann Linde säger att Sverige inte lyckats att hålla smittan borta från äldreomsor…,Ann Linde säger att Sverige inte lyckats att hålla smittan borta från äldreomsor…,0,1223,2020-06-17,1,"ar_covid, Ann Linde",https://twitter.com/ar_covid/status/1380864006513123329,,
87,"Anna Ekström: ""Minnas solidariteten. Minnas känslan av gemenskap och känslan av att göra rätt.""","Anna Ekström: ""Minnas solidariteten. Minnas känslan av gemenskap och känslan av att göra rätt.""",0,1530,2020-11-22,1,"sverige, Anna Ekström",https://twitter.com/Anna_Ekstrom/status/1330586350542794759,,
88,Anna Mia Ekström säger att dödligheten i covid-19 är väldigt låg - av alla som s…,Anna Mia Ekström säger att dödligheten i covid-19 är väldigt låg - av alla som s…,0,1162,2020-08-01,1,"ar_covid, Anna Mia Ekström",https://twitter.com/ar_covid/status/1386627580728692739,,
89,Anna Mia Ekström säger att hon hoppas att Indien skulle agerat annorlunda om de …,Anna Mia Ekström säger att hon hoppas att Indien skulle agerat annorlunda om de …,0,1161,2020-08-01,1,"ar_covid, Anna Mia Ekström",https://twitter.com/ar_covid/status/1386627967976185857,,
90,Annika Linde: Det fanns ingen strategi för äldrevården,Annika Linde: Det fanns ingen strategi för äldrevården,0,1448,2020-05-28,1,"sverige,linde",https://www.svt.se/nyheter/inrikes/annika-linde,,
91,Annika Linde: ”Vi svenskar är inte alltid världens klokaste folk!”,Annika Linde: ”Vi svenskar är inte alltid världens klokaste folk!”,0,1447,2020-04-09,1,"sverige,linde",https://www.tidningen.nu/annika-linde-vi-svenskar-ar-inte-alltid-varldens-klokaste-folk/,,
92,"Annika Linde till TT: Jag uppfattar att strategin från Folkhälsomyndigheten är att vi ska uppnå flockimmunitet, att så många som möjligt ska smittas och därmed bli immuna, utan att bli svårt sjuka","Annika Linde till TT: Jag uppfattar att strategin från Folkhälsomyndigheten är att vi ska uppnå flockimmunitet, att så många som möjligt ska smittas och därmed bli immuna, utan att bli svårt sjuka",0,951,2020-03-15,1,"Tegnell, ALinde, TT,",https://tt.omni.se/strategin-lat-manga-smittas-i-lagom-takt/a/mR4EEg,,
93,BBC rapport: Kinesiska tjänstemän anser att viruset har en inkubationstid av 1-14 dagar,BBC rapport: Kinesiska tjänstemän anser att viruset har en inkubationstid av 1-14 dagar,0,968,2020-01-26,1,BBC,https://www.bbc.com/news/world-asia-china-51254523,,
94,Bakom kulisserna till Sveriges coronastrategi,Bakom kulisserna till Sveriges coronastrategi,0,1345,2021-05-03,1,"sverige, Lapo Lappin, Boken ""Flocken"", recension, Ergo",https://ergo.nu/bok/20210503-bakom-kulisserna-till-sveriges-coronastrategi,,
95,Belarus: Stockholm moving towards collective immunity,Belarus: Stockholm moving towards collective immunity,0,1397,2020-03-17,1,"sverige, Belarus, Johan Giesecke",https://www.tvr.by/eng/news/glavnyy-efir/intervyu_s_nauchnym_sovetnikom_pravitelstva_shvetsii_i_generalnogo_sekretarya_voz_yukhanom_gizeke/,,
96,Benjamin K Wellander: Ett hjälteepos om den svenska pandemihanteringen,Benjamin K Wellander: Ett hjälteepos om den svenska pandemihanteringen,0,1333,2021-05-14,1,"sverige, Benjamin Kalischer Wellander, Boken ""Flocken"", Bulletin",https://bulletin.nu/ett-hjalteepos-om-den-svenska-pandemihanteringen,,
97,Boris Johnson took advice from Sweden's no-lockdown scientist before rejecting tougher coronavirus restrictions,Boris Johnson took advice from Sweden's no-lockdown scientist before rejecting tougher coronavirus restrictions,0,1394,2020-09-24,1,"Business Insider, Storbirtannien, Anders Tegnell",https://www.businessinsider.com/boris-johnson-briefed-sweden-scientist-anders-tegnell-coronavirus-rules-2020-9?r=US&IR=T,,
98,Britton - Stockholm kan nå flockimmunitet i juni,Britton - Stockholm kan nå flockimmunitet i juni,0,1004,2020-05-10,1,sverige,https://www.svd.se/ny-berakning-stockholm-kan-na-immunitet-i-juni,,
99,Britton - Varannan svensk smittad i april,Britton - Varannan svensk smittad i april,0,995,2020-04-01,1,sverige,https://tt.omni.se/forskare-varannan-svensk-smittad-i-april/a/4qe70e,,
100,Britton ångrar sina beräkningar om flockimmunitet,Britton ångrar sina beräkningar om flockimmunitet,0,997,2020-11-27,1,sverige,https://www.dn.se/sverige/tom-britton-har-skrivit-hundratals-mejl-till-anders-tegnell-ibland-har-han-fatt-svar/,,
101,"Busch, Sjöstedt på Twitter om berått mod","Busch, Sjöstedt på Twitter om berått mod",0,1495,2021-01-14,1,"sverige, Ebba Busch, Jonas Sjöstedt",,FgP0yxOWYAcMdX6.jpeg,
102,Busch: Sveriges regering har med berått mod tillåtit en stor smittspridning,Busch: Sveriges regering har med berått mod tillåtit en stor smittspridning,0,1329,2020-06-07,1,"sverige, Ebba Busch, Stefan Löfven, SVT Agenda, Partiledardebatt",https://www.svt.se/nyheter/inrikes/bush-regeringe-tillat-smittan-att-spridas,,
103,COVID-19—a very visible pandemic,COVID-19—a very visible pandemic,0,1431,2020-08-08,1,"vetenskap,giesecke",https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31035-7/fulltext#coronavirus-linkback-header,,
